"","Platform","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio2","BgRatio2","Enriched"
"11","MS","GO:0098869","Cellular oxidant detoxification","42/1576","49/3146",0.857142857142857,1.71102248005801,5.02515398630701,1.59825759564153e-07,4.48075740668714e-05,4.08508896502178e-05,"P02760/P00450/P02768/P06727/P02649/P09211/P69905/O95445/P02144/P30041/P06702/P04040/P32119/P22352/Q06830/P68871/Q99497/P07203/P00738/Q9UBX5/Q92626/P08294/Q13162/P00441/P10599/P02042/O14618/P30711/Q9BRA2/O60613/P07148/P30044/P05164/P78417/Q16881/P04179/P00390/P28161/Q9BRX8/P69891/P16671/P30048",42,0.0266497461928934,0.0155753337571519,"MS"
"12","MS","GO:0042060","Wound healing","151/1576","227/3146",0.665198237885463,1.32786399516984,5.13722057196287,1.59979437311055e-07,4.48075740668714e-05,4.08508896502178e-05,"P00451/P07225/P00734/P12259/P01008/P04275/P00747/P05546/P02749/Q04756/P02675/P01009/Q9UK55/Q9Y490/P02649/P00488/P23142/P03952/P00742/P05160/P04196/P02750/P04264/Q96IY4/P00748/P04004/P02743/P01042/P01033/P08648/P0DJI8/P43121/Q12866/P32119/P07359/P16109/O00299/P08567/P30101/P07996/P04083/P68871/P28906/P21291/Q4LDE5/Q16394/Q09666/P08697/Q08830/P07203/Q13201/P08758/Q14118/P40197/Q9UNN8/Q9H4B7/Q04721/Q15465/P17301/Q06141/P62937/Q9BR76/P00740/Q8WUA8/P01137/P49257/P02538/Q12884/P03951/P15924/P04792/P02776/P21926/P42785/O14656/P35579/Q99439/P61586/Q13418/P40189/P18054/P10646/P49747/P08311/P42768/P02671/Q06418/Q5VY43/P06280/P05556/Q9NVJ2/Q8NFZ8/P05120/Q9Y6C2/P05106/Q76LX8/P20851/P17252/P60709/Q6YHK3/P22891/P21333/P05155/P18206/P04070/P08709/P02679/P02461/Q86UX7/P15291/Q9HCN6/Q86YW5/Q13308/P17813/Q16539/P12931/P05121/Q86YT9/P16070/P06756/P78536/P35968/Q9Y251/Q12913/P13688/Q15746/P29350/P13987/Q96PD2/Q03405/Q14393/P07093/P17405/P07355/P05019/P30530/P08887/P21860/P16671/Q14644/Q9BXJ1/P02730/Q15149/Q08345/Q08495/P20908/Q5JRA6/P01127/P04626/P13224/Q13976",151,0.0958121827411167,0.0721551176096631,"MS"
"13","MS","GO:0005996","Monosaccharide metabolic process","68/1576","90/3146",0.755555555555556,1.50823463056966,4.90057950178285,4.84934158484583e-07,0.000125374131282053,0.000114303104076812,"P18669/P02753/Q15848/Q16706/P15121/P35555/P05062/P04066/P80108/P26927/P05090/P14550/Q01469/Q00796/P24298/P06744/P48506/P04075/Q9UKK9/P17174/Q96G03/P09972/P06733/Q6PCE3/P04406/P09467/Q9BTY2/Q07654/P22692/A6NDG6/P49247/Q7LFX5/P36871/P41159/P09104/P21695/P10253/Q9Y2E5/P01275/P49641/Q7Z4W1/Q16531/Q3LXA3/P00558/P11413/P17936/P15291/P48357/O95479/P14618/Q16539/P12931/A2VDF0/P01344/P78417/P52209/Q9BXJ4/P60174/O00754/P05019/P17612/P38571/Q01813/Q9BXJ1/P62136/P19367/Q15043/P06213",68,0.0431472081218274,0.0286077558804832,"MS"
"14","MS","GO:0006958","Complement activation, classical pathway","30/1576","33/3146",0.909090909090909,1.81472081218274,4.71318867462986,6.5898552939091e-07,0.000158203597448775,0.000144233599703529,"P05156/P01024/P07358/P02748/P07357/P10643/P04003/P0C0L5/P01031/P13671/P09871/P00736/P07360/Q9NZP8/P06681/P02746/P11226/O00187/Q4LDE5/P02745/P02747/P17927/P20851/P05155/P10909/P0C0L4/P08174/P20023/Q9NZC2/P15529",30,0.0190355329949239,0.0104895104895105,"MS"
"15","MS","GO:0019318","Hexose metabolic process","62/1576","81/3146",0.765432098765432,1.52795011593658,4.82235041235505,7.15420822891134e-07,0.00016030195904914,0.000146146667749901,"P18669/P02753/Q15848/Q16706/P15121/P35555/P05062/P04066/P80108/P26927/P05090/Q01469/Q00796/P24298/P06744/P04075/P17174/Q96G03/P09972/P06733/Q6PCE3/P04406/P09467/Q9BTY2/Q07654/P22692/A6NDG6/Q7LFX5/P36871/P41159/P09104/P21695/P10253/Q9Y2E5/P01275/P49641/Q7Z4W1/Q16531/Q3LXA3/P00558/P11413/P17936/P15291/P48357/O95479/P14618/Q16539/P12931/A2VDF0/P01344/Q9BXJ4/P60174/O00754/P05019/P17612/P38571/Q01813/Q9BXJ1/P62136/P19367/Q15043/P06213",62,0.0393401015228426,0.0257469802924348,"MS"
"16","MS","GO:0006909","Phagocytosis","81/1576","112/3146",0.723214285714286,1.44367521754895,4.7896634599464,9.2530826294257e-07,0.000194372566984374,0.000177208707462225,"P01024/P02647/P02765/P02652/P06396/P04003/O75636/P0C0L5/Q15848/P02741/P05107/Q07954/P12429/P06681/P11226/Q12866/Q12907/P08571/P07996/P41240/P18428/P04083/P27797/Q96BZ4/P32942/P27918/P61106/P11142/P35247/P17301/Q9NPY3/P24158/Q9Y6Z7/P00441/P01137/Q96KG7/P31146/Q15485/O00602/O00241/Q9BUD6/P35579/Q99439/P51149/P41159/Q06418/Q5VY43/P05556/Q9NVJ2/Q5KU26/P21980/P26022/Q14696/P05106/P20851/Q9BWP8/P0C0L4/P48357/P08581/P12931/P11215/P08575/P06756/Q96H15/P12318/Q70J99/Q12913/P16284/P20701/Q9UEW3/Q9ULV4/Q14393/P78324/P30530/Q06187/P01130/Q9UBW5/Q8NEU8/P16671/Q9NZC2/P21757",81,0.0513959390862944,0.0356007628734901,"MS"
"17","MS","GO:0009611","Response to wounding","181/1576","285/3146",0.635087719298246,1.26775759194942,4.74836286566497,1.22573546915946e-06,0.000242335112461467,0.000220935972181002,"P00451/P07225/P54802/P00734/P12259/P01008/P04275/P00747/P05546/P06727/P02749/Q04756/P02675/P01009/Q9UK55/Q9Y490/P02649/P00488/P23142/P03952/P00742/P05160/P04196/P02750/P04264/Q96IY4/P00748/P04004/P02743/P01042/P01033/P05090/P08648/P0DJI8/P43121/Q12866/P32119/P07359/P16109/O00299/P08567/P30101/P07996/P04083/P68871/Q9Y5Y7/P28906/P21291/Q4LDE5/Q16394/Q09666/P08697/P42574/P12109/Q08830/P07203/Q13201/P08758/Q14118/P40197/Q9UNN8/Q9H4B7/Q04721/Q15465/P55268/P17301/Q06141/P62937/Q9BR76/P00740/Q8WUA8/P00441/P01137/P49257/P02538/Q12884/P03951/P09529/Q86UN3/O14786/P15924/P04792/P02776/P21926/P42785/P08253/P54764/O14656/P35579/Q99439/P61586/Q13418/Q92876/P40189/P18054/O94898/P10646/P49747/P08311/P42768/P02671/Q06418/Q5VY43/P06280/P05556/Q9NVJ2/Q8NFZ8/P05120/Q9Y6C2/Q9BZR6/P05106/Q76LX8/P20851/P17252/P60709/Q6YHK3/P22891/P21333/P05155/P18206/P04070/P08709/P02679/P02461/Q86UX7/P15291/Q9HCN6/P10586/Q86YW5/Q92859/Q13308/P24821/P17813/Q07812/Q16539/P12931/P05121/Q96MU8/Q86YT9/P16070/P04179/P06756/P78536/P35968/Q9Y251/P28799/Q12913/P13688/P10451/Q8IWU5/Q15746/P29350/Q96B86/P29279/P13987/Q96PD2/Q03405/Q14393/P07093/P17405/P07355/P05019/P30530/P08887/Q9Y6E0/P21860/P16671/Q14644/Q9BXJ1/P02730/Q15149/Q9NZC2/Q08345/Q08495/O00339/P20908/Q5JRA6/P01127/P04626/P13224/Q13976",181,0.114847715736041,0.0905912269548633,"MS"
"18","MS","GO:0016052","Carbohydrate catabolic process","48/1576","60/3146",0.8,1.59695431472081,4.67689225830183,1.3887459697105e-06,0.000259309733566499,0.000236411667709197,"P18669/P05062/O00462/P07686/P17050/Q00796/P07738/P12109/P06744/P17900/P04075/Q9UKK9/Q96G03/P09972/Q01459/P06733/P04406/P09467/P11216/P36871/O43451/P09104/P21695/P10253/Q9Y2E5/P04746/P56537/Q3LXA3/O43280/P00558/P30613/P14618/P12931/P00338/P52209/Q13231/P60174/O00754/P05019/P06737/P17612/P38571/Q01813/P02730/P05067/P62136/P19367/P06213",48,0.0304568527918782,0.0190718372536554,"MS"
"19","MS","GO:0034109","Homotypic cell-cell adhesion","50/1576","64/3146",0.78125,1.55952569796954,4.53035581288164,3.08214381287336e-06,0.000545215018687756,0.000497070395527665,"P02675/Q9Y490/P14923/O00299/Q9BYE9/P08567/P30101/P68871/P21291/Q14126/Q08830/Q13201/Q9H4B7/P62937/Q96KG7/P15924/P04792/P21926/P35579/Q13418/P13501/P40189/P18054/P49747/P08311/P02671/Q06418/Q5VY43/P06280/Q9Y6C2/P05106/P17252/P60709/P21333/P18206/P02679/Q86UX7/Q9HCN6/Q02487/P13688/P29350/Q9HBB8/P14209/Q03405/P07093/P08887/P35241/Q9BXJ1/Q9UDY2/Q13976",50,0.0317258883248731,0.0203432930705658,"MS"
"20","MS","GO:0051604","Protein maturation","154/1576","240/3146",0.641666666666667,1.28089043993232,4.53558572167895,3.4666365922014e-06,0.000582568279319445,0.000531125216836751,"P00451/P54802/P00747/P06396/P00746/P02749/Q04756/P02675/Q07075/P61769/P00488/O43866/P00736/P23142/P03952/P05160/P15169/Q96IY4/P00748/P05452/P02743/Q9NZP8/Q13093/P48740/P34932/P06276/P04156/O75356/P23284/P07359/P45877/P27487/P01160/P30101/P07996/P17987/P07237/P11021/Q10471/Q9BS26/P08697/P42574/P27797/P13667/O00391/P08238/Q8NBP7/P48643/O75503/P14625/P40197/O75976/Q92673/P27930/Q9Y4L1/P11142/Q15465/P18850/Q13162/Q8NBS9/Q16819/P62937/P00740/Q14623/Q9UBR2/O75347/P49257/P06733/Q6ZRP7/O14672/P03951/P14384/P04792/P42785/Q9HCB6/O14656/P09668/P35579/Q92876/P48723/Q9NZD4/P62942/Q9H173/O76003/P49747/P10124/P08311/P25774/Q99538/Q6UXH0/O14618/P02671/Q9H3K6/O76031/P13497/P78371/O14657/P49368/P08473/P07711/P26885/P30040/Q9BSL1/Q14696/O60613/P49863/P55212/Q16543/P05106/Q76LX8/P21333/P10909/Q9NYU2/P00558/P08709/P02679/P17066/P0DMV8/Q15185/P20810/P07900/Q99832/P42892/P12931/P12821/P05121/P78536/P40227/Q5TDH0/P28799/Q9P2X0/P07911/P27824/Q92542/Q15084/Q03405/P50502/Q12931/Q9Y2G1/P07093/P07355/P29122/P17612/Q13724/P19440/P17655/P50990/Q8N2S1/Q92896/Q92598/P50991/Q99426/P13224/P04233",154,0.0977157360406091,0.0762873490146217,"MS"
